priz,Number per month,Odds of winning AT LEAST this amount per £25 of bonds in one month (1),odds
1000000,2,"1 in 2,482,093,909",4.03E-10
100000,87,"1 in 57,059,621",1.75E-08
50000,174,"1 in 19,019,876",5.26E-08
25000,348,"1 in 8,151,376",1.23E-07
10000,870,"1 in 3,356,449",2.81E-06
5000,"1,741","1 in 1,541,566",1.85E-06
1000,"18,202","1 in 231,731",4.32E-06
500,"54,606","1 in 65,295",1.53E-05
100,"2,181,976","1 in 2,199",0.000454752
50,"2,181,976","1 in 1,118",0.000894454
25,"1,469,766",1 in 840,0.001190476